Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
io_debug_pc[29]_reg_p_D_AOI221X1P4H7L_Y_C0_MUX2X3H7L_Y,1.2,6.483e-03,0.000e+00,4.630e-09,6.483e-03
io_debug_pc[25]_reg_p_D_OAI21X0P5H7L_Y_B0_AOI32X0P5H7L_Y_A2_MUX2X0P5H7L_Y_A_OAI32X0P5H7L_A2_Y_OR4X3H7L_B,1.2,6.004e-03,0.000e+00,2.904e-09,6.004e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_A0_AOI32X0P5H7L_B1_Y_NAND4BBX1P4H7L_D,1.2,5.722e-03,0.000e+00,1.653e-09,5.722e-03
io_debug_pc[0]_reg_p_D_AOI21X1P4H7L_Y,1.2,5.391e-03,0.000e+00,9.235e-10,5.391e-03
io_debug_pc[14]_reg_p_D_NOR4X1H7L_Y_D_MUX2X3H7L_Y,1.2,5.279e-03,0.000e+00,4.702e-09,5.279e-03
icache.resp_data_reg_0__reg_p_D_OA221X0P5H7L_Y,1.2,5.179e-03,0.000e+00,1.181e-09,5.179e-03
icache.resp_data_reg_1__reg_p_D_OA221X0P5H7L_Y,1.2,5.176e-03,0.000e+00,1.181e-09,5.176e-03
io_debug_pc[1]_reg_p_D_OAOI211X0P5H7L_Y_A1_MUX2X0P5H7L_Y,1.2,5.122e-03,0.000e+00,2.096e-09,5.122e-03
icache.resp_data_reg_4__reg_p_D_OA221X0P5H7L_Y,1.2,5.100e-03,0.000e+00,1.181e-09,5.100e-03
pred_tag_taken_AOI21X0P5H7L_B0_A1_BUFX10H7L_A,1.2,5.099e-03,0.000e+00,6.895e-09,5.099e-03
icache.resp_data_reg_17__reg_p_D_AO221X0P5H7L_Y,1.2,5.051e-03,0.000e+00,1.713e-09,5.051e-03
icache.s1_ready_NOR3X0P5H7L_B_Y_AND4X0P5H7L_B_Y_AOAI211X1P4H7L_C0_A1_NOR4BX0P5H7L_Y_C_AO31X0P5H7L_Y,1.2,4.777e-03,0.000e+00,1.434e-09,4.777e-03
io_debug_pc[11]_reg_p_D_AO222X0P5H7L_Y_C0_MUXI2X0P5H7L_Y,1.2,4.763e-03,0.000e+00,2.487e-09,4.763e-03
io_debug_pc[31]_reg_p_D_AO222X0P5H7L_Y_C0_MUXI2X0P5H7L_Y,1.2,4.762e-03,0.000e+00,2.487e-09,4.762e-03
io_debug_pc[28]_reg_p_D_AOI222X0P5H7L_Y_C0_MUXI2X0P5H7L_Y,1.2,4.725e-03,0.000e+00,2.487e-09,4.725e-03
io_debug_pc[15]_reg_p_D_NOR4X1H7L_Y_D_MUXI2X0P5H7L_Y,1.2,4.541e-03,0.000e+00,2.560e-09,4.541e-03
io_debug_pc[6]_reg_p_D_NOR4X1H7L_Y_D_MUXI2X0P5H7L_Y,1.2,4.530e-03,0.000e+00,2.560e-09,4.530e-03
