现在指定了镜像文件
文件加载了: /home/abc/ysyx-workbench/am-kernels/benchmarks/microbench/build/microbench-riscv32i-ysyxsoc.bin, size = 29280 bytes
[C++ DUT] step cycle=0
[C++ DUT] step cycle=1
[C++ DUT] step cycle=2
[C++ DUT] step cycle=3
[C++ DUT] step cycle=4
[MTRACE] valid wen=0 addr=0x300000f8 wdata=0x00000000 rdata=0xd8c28293
[MTRACE] valid wen=1 addr=0x0f0000ac wdata=0xd8c28293 rdata=0xd8c28293
[MTRACE] valid wen=0 addr=0x300000fc wdata=0x00000000 rdata=0x00028067
[MTRACE] valid wen=1 addr=0x0f0000b0 wdata=0x00028067 rdata=0x00028067
[MTRACE] valid wen=0 addr=0x30000100 wdata=0x00000000 rdata=0xfe010113
[MTRACE] valid wen=1 addr=0xa0000000 wdata=0xfe010113 rdata=0xfe010113
[MTRACE] valid wen=0 addr=0x30000104 wdata=0x00000000 rdata=0x01212823
[MTRACE] valid wen=1 addr=0xa0000004 wdata=0x01212823 rdata=0x01212823
[MTRACE] valid wen=0 addr=0x30000108 wdata=0x00000000 rdata=0x01312623
[MTRACE] valid wen=1 addr=0xa0000008 wdata=0x01312623 rdata=0x01312623
[MTRACE] valid wen=0 addr=0x3000010c wdata=0x00000000 rdata=0x01412423
[MTRACE] valid wen=1 addr=0xa000000c wdata=0x01412423 rdata=0x01412423
[MTRACE] valid wen=0 addr=0x30000110 wdata=0x00000000 rdata=0x00112e23
[MTRACE] valid wen=1 addr=0xa0000010 wdata=0x00112e23 rdata=0x00112e23
[MTRACE] valid wen=0 addr=0x30000114 wdata=0x00000000 rdata=0x00812c23
[MTRACE] valid wen=1 addr=0xa0000014 wdata=0x00812c23 rdata=0x00812c23
[MTRACE] valid wen=0 addr=0x30000118 wdata=0x00000000 rdata=0x00912a23
[MTRACE] valid wen=1 addr=0xa0000018 wdata=0x00912a23 rdata=0x00912a23
[MTRACE] valid wen=0 addr=0x3000011c wdata=0x00000000 rdata=0x00050913
[MTRACE] valid wen=1 addr=0xa000001c wdata=0x00050913 rdata=0x00050913
[MTRACE] valid wen=0 addr=0x30000120 wdata=0x00000000 rdata=0x00060a13
[MTRACE] valid wen=1 addr=0xa0000020 wdata=0x00060a13 rdata=0x00060a13
[MTRACE] valid wen=0 addr=0x30000124 wdata=0x00000000 rdata=0x00450993
[MTRACE] valid wen=1 addr=0xa0000024 wdata=0x00450993 rdata=0x00450993
[MTRACE] valid wen=0 addr=0x30000128 wdata=0x00000000 rdata=0x0745de63
[MTRACE] valid wen=1 addr=0xa0000028 wdata=0x0745de63 rdata=0x0745de63
[MTRACE] valid wen=0 addr=0x3000012c wdata=0x00000000 rdata=0x002a1493
[MTRACE] valid wen=1 addr=0xa000002c wdata=0x002a1493 rdata=0x002a1493
[MTRACE] valid wen=0 addr=0x30000130 wdata=0x00000000 rdata=0x009904b3
[MTRACE] valid wen=1 addr=0xa0000030 wdata=0x009904b3 rdata=0x009904b3
[MTRACE] valid wen=0 addr=0x30000134 wdata=0x00000000 rdata=0x00158793
[MTRACE] valid wen=1 addr=0xa0000034 wdata=0x00158793 rdata=0x00158793
[MTRACE] valid wen=0 addr=0x30000138 wdata=0x00000000 rdata=0x0947d663
[MTRACE] valid wen=1 addr=0xa0000038 wdata=0x0947d663 rdata=0x0947d663
[MTRACE] valid wen=0 addr=0x3000013c wdata=0x00000000 rdata=0x00259793
[MTRACE] valid wen=1 addr=0xa000003c wdata=0x00259793 rdata=0x00259793
[MTRACE] valid wen=0 addr=0x30000140 wdata=0x00000000 rdata=0x00f90533
[MTRACE] valid wen=1 addr=0xa0000040 wdata=0x00f90533 rdata=0x00f90533
[MTRACE] valid wen=0 addr=0x30000144 wdata=0x00000000 rdata=0x00052803
[MTRACE] valid wen=1 addr=0xa0000044 wdata=0x00052803 rdata=0x00052803
[MTRACE] valid wen=0 addr=0x30000148 wdata=0x00000000 rdata=0x00f987b3
[MTRACE] valid wen=1 addr=0xa0000048 wdata=0x00f987b3 rdata=0x00f987b3
[MTRACE] valid wen=0 addr=0x3000014c wdata=0x00000000 rdata=0x00058413
[MTRACE] valid wen=1 addr=0xa000004c wdata=0x00058413 rdata=0x00058413
[MTRACE] valid wen=0 addr=0x30000150 wdata=0x00000000 rdata=0x0007a683
[MTRACE] valid wen=1 addr=0xa0000050 wdata=0x0007a683 rdata=0x0007a683
[MTRACE] valid wen=0 addr=0x30000154 wdata=0x00000000 rdata=0x0106de63
[MTRACE] valid wen=1 addr=0xa0000054 wdata=0x0106de63 rdata=0x0106de63
[MTRACE] valid wen=0 addr=0x30000158 wdata=0x00000000 rdata=0x00140413
[MTRACE] valid wen=1 addr=0xa0000058 wdata=0x00140413 rdata=0x00140413
[MTRACE] valid wen=0 addr=0x3000015c wdata=0x00000000 rdata=0x00241713
[MTRACE] valid wen=1 addr=0xa000005c wdata=0x00241713 rdata=0x00241713
[MTRACE] valid wen=0 addr=0x30000160 wdata=0x00000000 rdata=0x00e90733
[MTRACE] valid wen=1 addr=0xa0000060 wdata=0x00e90733 rdata=0x00e90733
[MTRACE] valid wen=0 addr=0x30000164 wdata=0x00000000 rdata=0x00072883
[MTRACE] valid wen=1 addr=0xa0000064 wdata=0x00072883 rdata=0x00072883
[MTRACE] valid wen=0 addr=0x30000168 wdata=0x00000000 rdata=0x00d72023
[MTRACE] valid wen=1 addr=0xa0000068 wdata=0x00d72023 rdata=0x00d72023
[MTRACE] valid wen=0 addr=0x3000016c wdata=0x00000000 rdata=0x0117a023
[MTRACE] valid wen=1 addr=0xa000006c wdata=0x0117a023 rdata=0x0117a023
[MTRACE] valid wen=0 addr=0x30000170 wdata=0x00000000 rdata=0x00478793
[MTRACE] valid wen=1 addr=0xa0000070 wdata=0x00478793 rdata=0x00478793
[MTRACE] valid wen=0 addr=0x30000174 wdata=0x00000000 rdata=0xfcf49ee3
[MTRACE] valid wen=1 addr=0xa0000074 wdata=0xfcf49ee3 rdata=0xfcf49ee3
[MTRACE] valid wen=0 addr=0x30000178 wdata=0x00000000 rdata=0x00241793
[MTRACE] valid wen=1 addr=0xa0000078 wdata=0x00241793 rdata=0x00241793
[MTRACE] valid wen=0 addr=0x3000017c wdata=0x00000000 rdata=0x00052683
[MTRACE] valid wen=1 addr=0xa000007c wdata=0x00052683 rdata=0x00052683
[MTRACE] valid wen=0 addr=0x30000180 wdata=0x00000000 rdata=0x00f907b3
[MTRACE] valid wen=1 addr=0xa0000080 wdata=0x00f907b3 rdata=0x00f907b3
[MTRACE] valid wen=0 addr=0x30000184 wdata=0x00000000 rdata=0x0007a703
[MTRACE] valid wen=1 addr=0xa0000084 wdata=0x0007a703 rdata=0x0007a703
[MTRACE] valid wen=0 addr=0x30000188 wdata=0x00000000 rdata=0x00d7a023
[MTRACE] valid wen=1 addr=0xa0000088 wdata=0x00d7a023 rdata=0x00d7a023
[MTRACE] valid wen=0 addr=0x3000018c wdata=0x00000000 rdata=0x00040613
[MTRACE] valid wen=1 addr=0xa000008c wdata=0x00040613 rdata=0x00040613
[MTRACE] valid wen=0 addr=0x30000190 wdata=0x00000000 rdata=0x00e52023
[MTRACE] valid wen=1 addr=0xa0000090 wdata=0x00e52023 rdata=0x00e52023
[MTRACE] valid wen=0 addr=0x30000194 wdata=0x00000000 rdata=0x00090513
[MTRACE] valid wen=1 addr=0xa0000094 wdata=0x00090513 rdata=0x00090513
[MTRACE] valid wen=0 addr=0x30000198 wdata=0x00000000 rdata=0xf69ff0ef
[MTRACE] valid wen=1 addr=0xa0000098 wdata=0xf69ff0ef rdata=0xf69ff0ef
[MTRACE] valid wen=0 addr=0x3000019c wdata=0x00000000 rdata=0x00140593
[MTRACE] valid wen=1 addr=0xa000009c wdata=0x00140593 rdata=0x00140593
[MTRACE] valid wen=0 addr=0x300001a0 wdata=0x00000000 rdata=0xf945cae3
[MTRACE] valid wen=1 addr=0xa00000a0 wdata=0xf945cae3 rdata=0xf945cae3
[MTRACE] valid wen=0 addr=0x300001a4 wdata=0x00000000 rdata=0x01c12083
[MTRACE] valid wen=1 addr=0xa00000a4 wdata=0x01c12083 rdata=0x01c12083
[MTRACE] valid wen=0 addr=0x300001a8 wdata=0x00000000 rdata=0x01812403
[MTRACE] valid wen=1 addr=0xa00000a8 wdata=0x01812403 rdata=0x01812403
[MTRACE] valid wen=0 addr=0x300001ac wdata=0x00000000 rdata=0x01412483
[MTRACE] valid wen=1 addr=0xa00000ac wdata=0x01412483 rdata=0x01412483
[MTRACE] valid wen=0 addr=0x300001b0 wdata=0x00000000 rdata=0x01012903
[MTRACE] valid wen=1 addr=0xa00000b0 wdata=0x01012903 rdata=0x01012903
[MTRACE] valid wen=0 addr=0x300001b4 wdata=0x00000000 rdata=0x00c12983
[MTRACE] valid wen=1 addr=0xa00000b4 wdata=0x00c12983 rdata=0x00c12983
[MTRACE] valid wen=0 addr=0x300001b8 wdata=0x00000000 rdata=0x00812a03
[MTRACE] valid wen=1 addr=0xa00000b8 wdata=0x00812a03 rdata=0x00812a03
[MTRACE] valid wen=0 addr=0x300001bc wdata=0x00000000 rdata=0x02010113
[MTRACE] valid wen=1 addr=0xa00000bc wdata=0x02010113 rdata=0x02010113
