分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
16,4,64,4,BTFN+SplitJal,276831713,229505379,47326334,82.90,244368073,197041934,80.63,32463640,32463445,100.00
16,4,64,2,BTFN+SplitJal,276831713,229505333,47326380,82.90,244368073,197041934,80.63,32463640,32463399,100.00
16,4,64,1,BTFN+SplitJal,276831713,229505214,47326499,82.90,244368073,197041934,80.63,32463640,32463280,100.00
16,2,64,4,BTFN+SplitJal,276831713,229504875,47326838,82.90,244368073,197041430,80.63,32463640,32463445,100.00
16,2,64,2,BTFN+SplitJal,276831713,229504829,47326884,82.90,244368073,197041430,80.63,32463640,32463399,100.00
16,2,64,1,BTFN+SplitJal,276831713,229504710,47327003,82.90,244368073,197041430,80.63,32463640,32463280,100.00
16,1,64,4,BTFN+SplitJal,276831713,229477013,47354700,82.89,244368073,197013568,80.62,32463640,32463445,100.00
16,1,64,2,BTFN+SplitJal,276831713,229476967,47354746,82.89,244368073,197013568,80.62,32463640,32463399,100.00
16,1,64,1,BTFN+SplitJal,276831713,229476848,47354865,82.89,244368073,197013568,80.62,32463640,32463280,100.00
16,4,32,4,BTFN+SplitJal,276831713,229425443,47406270,82.88,244368073,197041934,80.63,32463640,32383509,99.75
16,4,32,2,BTFN+SplitJal,276831713,229425098,47406615,82.88,244368073,197041934,80.63,32463640,32383164,99.75
16,2,32,4,BTFN+SplitJal,276831713,229424939,47406774,82.88,244368073,197041430,80.63,32463640,32383509,99.75
16,2,32,2,BTFN+SplitJal,276831713,229424594,47407119,82.88,244368073,197041430,80.63,32463640,32383164,99.75
16,4,32,1,BTFN+SplitJal,276831713,229402215,47429498,82.87,244368073,197041934,80.63,32463640,32360281,99.68
16,2,32,1,BTFN+SplitJal,276831713,229401711,47430002,82.87,244368073,197041430,80.63,32463640,32360281,99.68
16,1,32,4,BTFN+SplitJal,276831713,229397077,47434636,82.87,244368073,197013568,80.62,32463640,32383509,99.75
16,1,32,2,BTFN+SplitJal,276831713,229396732,47434981,82.87,244368073,197013568,80.62,32463640,32383164,99.75
16,4,16,4,BTFN+SplitJal,276831713,229389091,47442622,82.86,244368073,197041934,80.63,32463640,32347157,99.64
16,2,16,4,BTFN+SplitJal,276831713,229388587,47443126,82.86,244368073,197041430,80.63,32463640,32347157,99.64
16,1,32,1,BTFN+SplitJal,276831713,229373849,47457864,82.86,244368073,197013568,80.62,32463640,32360281,99.68
16,1,16,4,BTFN+SplitJal,276831713,229360725,47470988,82.85,244368073,197013568,80.62,32463640,32347157,99.64
16,4,16,2,BTFN+SplitJal,276831713,229360356,47471357,82.85,244368073,197041934,80.63,32463640,32318422,99.55
16,4,16,1,BTFN+SplitJal,276831713,229360270,47471443,82.85,244368073,197041934,80.63,32463640,32318336,99.55
16,2,16,2,BTFN+SplitJal,276831713,229359852,47471861,82.85,244368073,197041430,80.63,32463640,32318422,99.55
16,2,16,1,BTFN+SplitJal,276831713,229359766,47471947,82.85,244368073,197041430,80.63,32463640,32318336,99.55
16,1,16,2,BTFN+SplitJal,276831713,229331990,47499723,82.84,244368073,197013568,80.62,32463640,32318422,99.55
16,1,16,1,BTFN+SplitJal,276831713,229331904,47499809,82.84,244368073,197013568,80.62,32463640,32318336,99.55
64,2,16,1,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,64,4,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,64,2,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,64,1,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,8,4,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,32,4,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
64,2,32,2,BTFN+SharedJal,276831713,228769214,48062499,82.64,244368073,198110645,81.07,32463640,30658569,94.44
