record_type,step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,mem_access,mem_width,pa_shifted,va_raw,value
STEP,37,0x00000118,0xff114203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,37,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000046,0x00000118,0xff114203
MEM,37,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f4,0x00051fd1,0x00000000
STEP,38,0x0000011c,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,38,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000047,0x0000011c,0x00420233
STEP,39,0x00000120,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,39,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000048,0x00000120,0x00420233
STEP,40,0x00000124,0x00440233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x0003d600,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,40,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000049,0x00000124,0x00440233
STEP,41,0x00000128,0x00022203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,41,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004a,0x00000128,0x00022203
MEM,41,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000f580,0x0003d600,0x00000000
STEP,42,0x0000012c,0xfe412423,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,42,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004b,0x0000012c,0xfe412423
MEM,42,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f2,0x00051fc8,0x00000000
STEP,43,0x00000130,0xff014203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,43,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000004c,0x00000130,0xff014203
